[INFO] [1700004413.873926370] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004414.374034185] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004414.873985347] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004415.374103667] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004415.874096943] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004416.374110645] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004416.874018613] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004417.374081284] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004417.873983744] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004418.373945569] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004418.874087434] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004419.374045526] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004419.874119557] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004420.374117203] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004420.874076351] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004421.374091626] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004421.874112475] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004422.374105448] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004422.874102258] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004423.374043060] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004423.874124083] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004424.374029073] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004424.874162074] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004425.374045377] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004425.874049024] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004426.374049213] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004426.874185782] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004427.374031719] [first_astronaut]: Wait, the earth's round?
[INFO] [1700004427.874085701] [first_astronaut]: Wait, the earth's round?
^C[INFO] [1700004427.919249129] [rclcpp]: signal_handler(signum=2)
